pathc,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
hsa00010,N0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00020,N1,0.00012343263,-7.0965143e-06,0.00021963155,-2.8300385e-06,0.0020141322,-4.49267e-06,0.0,0.00010318259,0.00015231661,0.0,0.0,-4.408227e-06,0.0,0.00045983744,0.0,0.0,7.7649835e-05,0.00010160601,3.599441e-05,0.0,0.0002737466,9.44496e-05,0.0,0.00013337616,0.0007287952
hsa00030,N2,-1.0676595e-05,-1.8967131e-06,0.0,-8.7147e-05,-0.0001687182,-7.254016e-05,-7.103735e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.308613e-05,0.0,0.0,0.0,-2.5927828e-05,0.0,0.0,-3.5535766e-05,-1.9981391e-05,0.0,0.0,-0.00010363261
hsa00040,N3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1854035e-05,0.0,0.0,-0.03482461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029783994
hsa00051,N4,-0.00041785114,0.0,0.0,-0.0004994919,-0.0043496527,-0.000510095,-0.0012732751,0.0,0.0,0.0,0.0,0.0,3.1954954e-05,2.8940216e-05,0.0,0.0,0.0,-0.0001425932,-0.00024694734,0.0,-0.00041992316,-0.00015700555,0.0,-0.00022407425,-0.00090108707
hsa00052,N5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032198793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017191658
hsa00053,N6,0.0,0.0,0.0,0.0,0.0,0.0,-1.164779e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011286997
hsa00061,N7,1.9709842e-05,2.2918324e-05,0.0,1.7850693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1650621e-05,0.0,0.0,0.0,5.9988056e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00062,N8,8.9081324e-05,0.0,0.0,0.00012649702,0.0,8.7792214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014271028,0.0,0.0,0.0,1.2530206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00014213962
hsa00071,N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.150168e-05,0.0,0.0,0.0,0.0,0.00094808906,0.0,0.0,6.247623e-05,0.0,0.0
hsa00100,N10,4.274004e-05,0.0,0.0,0.00013159776,0.0004266407,3.4805296e-05,5.981392e-05,0.0,0.0,0.0,0.0,4.6571175e-05,0.0,0.00012558498,0.0,0.0,0.0,3.7425074e-05,4.5949342e-05,0.0,2.97792e-05,0.0,0.0,4.1021514e-05,0.00011757233
hsa00120,N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00130,N12,0.0,0.0,0.0030231094,0.0,0.0,0.0,0.0,0.00086954626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089114887,0.0,0.0,9.255101e-05,0.0,0.0,0.0,0.0
hsa00140,N13,1.0602376e-05,1.8474393e-05,0.005866112,4.3865675e-05,0.0,3.586753e-05,0.0,0.00018269732,0.0,1.5030855e-06,1.2581337e-06,2.6124908e-08,1.4384469e-05,4.472079e-05,0.0,0.0,0.0,1.2338486e-05,0.0,2.4119501e-05,1.0057831e-05,0.0,0.00045138327,0.0,2.496563e-05
hsa00190,N14,0.0,0.0004936665,0.0,0.0006772292,0.0040545827,7.564998e-05,0.00024098491,0.0,0.0,0.0,0.014915073,0.0003641683,0.0,0.0,0.0,0.0,0.0,0.0018326764,0.00085694663,0.0,0.0011064048,0.0,0.0,0.0,0.0013743114
hsa00220,N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5101016e-05
hsa00230,N16,0.0003827885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0592073e-05,0.0,0.0,0.0,0.00041254176,0.0,0.0,0.0,0.0009389172,0.0,0.0,0.0,0.0
hsa00232,N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008082946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00240,N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00250,N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.991678e-05
hsa00260,N20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.590703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00270,N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015585695,0.0,0.0
hsa00280,N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00290,N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00310,N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010564943,0.0,0.0,0.0,0.0,0.0
hsa00330,N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022460201,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004988506
hsa00340,N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3212793e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.713746e-06
hsa00350,N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000111617104,0.0,0.0,0.0,0.0,-0.002307266,0.0,0.0,-0.003647347,0.0,-0.00018375693
hsa00360,N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09012135e-05
hsa00380,N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5079206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00400,N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00410,N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00430,N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705891e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00440,N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00450,N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27973235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00470,N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043743988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00480,N36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00500,N37,7.587978e-06,-0.00026713512,0.0,-0.0002484451,-0.00035879496,-0.00019060772,0.0,6.345927e-06,0.0,0.0,0.0,0.0,1.461954e-05,-0.00031690867,0.0,-0.0046391464,0.0,-5.0956387e-05,9.354083e-06,0.0,0.0,0.0,0.0,0.0,-0.00014090484
hsa00510,N38,0.0,0.0,0.0,0.0,0.0,0.0,3.4720401e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4051435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00511,N39,0.0,0.0,0.0,-0.000100502344,-0.00024653188,-7.786737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4878925e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014124451
hsa00512,N40,0.0,0.0,0.0,0.0,0.0,2.7188846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071908184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00513,N41,0.0,0.0,0.0,0.0,-6.420536e-05,-3.0979472e-06,1.2785794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0563107e-05
hsa00514,N42,-0.00015588751,0.0,-0.04061698,-0.0002304143,-0.03235341,-0.000157501,-3.41514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060427207,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027613984
hsa00515,N43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00520,N44,0.0,0.0,0.0,0.0,-0.00040187105,-2.8506274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021381826
hsa00524,N45,0.0,0.0,0.0,6.764544e-05,0.0,6.562313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.511844e-05,0.0,0.0,0.0,6.410941e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.738177e-05
hsa00531,N46,0.0,0.0,0.03193953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030145033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00532,N47,0.0,0.0,-0.0029041981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004134297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00533,N48,0.0,0.0,0.0,0.0,0.0012981544,-0.00020528297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001509507,0.0,0.0,0.0,0.0,0.0,0.0,0.00086148886
hsa00534,N49,0.0,0.0,0.0,-0.00013690563,0.0,-0.00015718937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013432864,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030264776
hsa00561,N50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00562,N51,3.526223e-05,-0.00028667485,-0.00012405789,0.0004939686,0.0015826235,0.00022748442,5.2908304e-05,2.471911e-07,5.1611532e-06,-0.00011685114,-0.0088320235,0.00035242218,-4.774976e-06,0.000544496,-6.1580045e-06,0.0,0.0,-1.2827788e-06,-2.5369873e-05,-0.00026893115,7.237583e-05,-1.1362585e-05,1.648262e-05,-1.037115e-05,0.0006293268
hsa00563,N52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00564,N53,0.0,0.0,0.0,4.794581e-05,0.00013988873,4.0529034e-05,6.249805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995049e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00011063787
hsa00565,N54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00590,N55,0.0,-1.4512287e-07,0.0,0.0,0.0,0.0,0.0,0.00032704778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9299543e-06,0.0,0.0,0.0,0.0,3.5797137e-07,-3.24146e-06
hsa00591,N56,-1.6712609e-06,1.9227335e-05,-0.00014129089,-3.5837063e-05,-3.9747025e-05,-9.467778e-06,0.0,0.0,0.0,4.0484018e-05,3.6390095e-06,-1.0147287e-05,0.0,-3.847769e-05,-2.4581436e-06,0.0,0.0,-6.394816e-06,-9.8762175e-06,0.0,0.0,-6.019436e-06,0.0,-5.2245405e-06,-2.3100612e-05
hsa00592,N57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00600,N58,0.0,0.0,0.0,0.0,0.0,-3.407917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2156415e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00601,N59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00603,N60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00604,N61,-1.4628772e-06,0.0,0.0,-6.7946103e-06,-1.3916542e-05,-1.0377121e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5916392e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.9852105e-06
hsa00620,N62,-4.7628215e-05,-0.00018350013,2.0318643e-05,3.925318e-05,0.00035540905,0.00010279039,5.904334e-05,1.1137992e-05,3.7210873e-05,0.0,0.0,-3.2039305e-05,0.0,-0.0007188605,0.0007900276,0.0,0.0,1.9929405e-05,-0.0001781151,0.008204476,2.5883939e-05,5.6051094e-06,-0.0008441068,-0.000105745494,0.0006511639
hsa00630,N63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00640,N64,0.0013134792,0.0017817346,0.0010736563,0.0003577802,0.0,0.00026876753,0.0,0.00058854173,0.00079052534,0.0,-0.004472567,0.0,0.0,-0.00034931308,0.0,-0.007896978,0.0,0.0005774121,0.0,0.0,0.0007499312,0.00046965852,0.0,0.0011160853,0.00045339187
hsa00650,N65,-3.23843e-05,0.0,8.602928e-06,0.00039233634,0.0,0.0003092381,-3.1804844e-05,0.0,0.0,3.8894912e-05,0.0015321559,0.00012236358,1.3537214e-05,0.00039670806,0.0,0.0,0.0,8.56365e-05,8.463056e-06,0.0,0.000116922696,0.00010915469,0.0,0.0,0.00051462994
hsa00670,N66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00730,N67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00740,N68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00750,N69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00760,N70,6.246223e-06,0.0,0.0,3.0513736e-05,0.0,0.00010570994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1997474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006799359
hsa00770,N71,0.0,0.0,0.0,0.0,0.00021212027,1.34668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6478315e-05,0.0,0.0,0.0,0.0
hsa00780,N72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00785,N73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00790,N74,-9.508269e-05,0.0,0.004195572,0.0,-0.0018821451,-0.00017556736,0.0,-0.01076607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018126715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00830,N75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00060525804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018255608,0.0,-0.0003034249
hsa00860,N76,-6.155975e-05,0.0,-0.1407117,0.0,-0.027379002,-0.0033532656,0.0,-0.006614752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0614913,0.0,0.0,-0.006139115,0.0,-0.013367996,0.0,-0.014010835
hsa00900,N77,0.0,0.0,0.0,0.0,0.0029509694,0.0,0.0,0.0,0.00063807634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015934655,0.0,0.004072138,0.0,0.0,0.0,0.0,0.0
hsa00910,N78,0.0,0.0,0.0,-1.1765465e-05,-0.0035500769,-0.000117561896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005744119,2.338087e-05,0.0,-0.0007064394,0.0,0.0,0.0,-0.0020344516
hsa00920,N79,0.0,1.753707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5380749e-05,0.0,0.0,0.0,0.0,0.0,5.501656e-05
hsa00970,N80,0.0,1.4215133e-05,0.0,0.0,1.8258412e-05,0.0,3.506384e-05,0.0,-3.19839e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.631823e-06,0.0,0.0,-1.6348164e-06,0.0,-3.1495738e-06,0.0
hsa00980,N81,0.00022003803,-4.4213466e-05,0.00049017346,0.00022477131,0.00028180663,0.00016413465,9.355332e-05,6.749428e-05,1.9441506e-05,0.00018394034,1.1049695e-05,6.355662e-05,0.0,0.0001363442,-4.5308636e-05,0.018257406,0.0,0.0001816754,0.00017772116,-0.00055750844,0.00011975364,0.00016842419,-0.0018416487,0.00021286655,-0.000112999274
hsa00982,N82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00983,N83,-0.00048831216,-0.00047915563,0.00018314879,0.00032329973,0.0009104396,0.0003605429,0.0001541985,0.00038798104,1.2602388e-06,0.00031785338,-8.154842e-05,0.0002520913,0.00028653472,0.00035580364,0.0,-0.024223965,0.0,0.00038115476,0.00038789187,-0.0017682901,0.00045331783,0.00023657778,-0.0042008115,0.00024913086,0.0005142437
hsa01040,N84,-6.264107e-06,0.0,0.0,-1.3071861e-05,-3.7260925e-06,-1.1239863e-05,-1.8483856e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.6763356e-06,0.0,0.0,0.0,-8.787513e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.7016759e-05
hsa02010,N85,-0.00082521,-0.0014453026,0.0,0.0,0.0,0.0,0.0,-0.13014677,0.0,0.0,-0.105136305,-0.008383909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014808231
hsa03008,N86,-3.030475e-06,-1.2823842e-06,-4.96723e-05,-5.8375244e-06,3.0265871e-06,-1.1548102e-05,0.0,1.3989238e-05,-2.33065e-05,0.0,-2.1675605e-06,-3.4798963e-05,1.762191e-05,-1.0272868e-05,0.0,0.0,0.0,-7.2525345e-06,-3.6030362e-06,0.0,-1.4911389e-05,-1.1935326e-06,0.0,-2.2397173e-05,-2.5262034e-05
hsa03010,N87,-2.6293258e-06,0.0,0.0,0.0,0.0,-1.3268176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0545318e-05,-0.0005469641,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018398828
hsa03013,N88,0.0,0.0,-3.4985837e-06,0.0,0.0,0.0,0.0,0.0,9.421607e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001152297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa03015,N89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9560673e-05,0.0,0.0,0.0,0.0002609682
hsa03018,N90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7908827e-06,-1.0456847e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1488319e-07,0.0,-1.9573304e-07,0.0,0.0,0.0,0.0
hsa03020,N91,8.0159025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010711076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa03022,N92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7705025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa03030,N93,-2.323817e-05,0.0,0.0,0.0,0.0,-5.898559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019463949,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006028973
hsa03040,N94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4058803e-05,0.0,1.06195785e-05,0.0023151592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa03050,N95,-9.700608e-07,1.5812655e-05,0.0005935031,3.5219182e-05,1.13036085e-05,1.2430068e-05,0.0,1.0542984e-05,3.3809105e-05,0.0,0.0,0.0,0.0,2.2075481e-05,0.0,0.0,0.0,3.9229864e-05,2.3929031e-05,4.1602096e-05,3.145021e-05,2.6400146e-05,0.0,3.935299e-05,3.210879e-05
